Author id,Text reply,Text reply cleaned,Created_at
755088828768088065,"@phil_viz @KariLake @elonmusk @Twitter Seems mine aged much better than yours. 😅
Yes I'm this petty... 👏👏👏",seems mine aged much better than yours yes im this petty,2023-01-10 14:35:06
755088828768088065,"@AmandaG9671111 @KariLake @elonmusk @Twitter Been way more than a week but thought we should circle back.
Yes, I'm THAT petty! 😂",been way more than a week but thought we should circle back yes im that petty,2023-01-10 14:20:21
3199971270,@elonmusk @franky_full you mean „fried“?,you mean fried,2023-01-10 10:36:02
1095500408343142401,@JFollain @ScottPresler @elonmusk So you still waiting for him to be in jail ?,so you still waiting for him to be in jail,2023-01-10 02:44:45
1094184165828833280,"@elonmusk Hallo✨🙂
( สวัสดี​ครับ​ )

    🙂ขอบคุณ​มากครับ​🙂
✨ที่ให้ความสำคัญกับผม✨",hallo,2023-01-09 19:15:24
1094184165828833280,"@elonmusk Hallo✨✨
 ( สวัสดี​ครับ​ )

✨ขอบคุณ​ครับ✨🙂",hallo,2023-01-09 19:13:21
1469303559858663432,@sinaEstavi @elonmusk #BRGArmy,,2023-01-09 18:59:16
1472002640427073536,@Exacerbater1 @moos4justice @AdrianJuarez57 @_Fix_It_Felix_ @WriteAsRae @TimRunsHisMouth @elonmusk What was the cause for your brain death?,what was the cause for your brain death,2023-01-09 18:27:01
1472002640427073536,@Exacerbater1 @moos4justice @AdrianJuarez57 @_Fix_It_Felix_ @WriteAsRae @TimRunsHisMouth @elonmusk Domestic terrorist fucks around and finds out. Great shot.,domestic terrorist fucks around and finds out great shot,2023-01-09 18:26:02
1518863995662389248,"@BabyEmper0r Your screenshot can be found below 😁!

🤩Want to get your screenshot without using the bot? Visit : https://t.co/pfHcOF41b1 . https://t.co/QSOAaRzLR5",your screenshot can be found below want to get your screenshot without using the bot visit,2023-01-09 11:17:58
308390956,@JamesMelville @elonmusk @_screenshoter All #white,all,2023-01-09 11:17:49
1518863995662389248,"@BabyEmper0r Your screenshot can be found below😁!

Remember your commands:
 'All' command gets all the tweets above the tweet you commented on in the thread.

 'light' and 'dark' commands returns your screenshot in light mode⬜ and dark mode⬛ https://t.co/5uu0HpngWH",your screenshot can be found below remember your commands all command gets all the tweets above the tweet you commented on in the thread light and dark commands returns your screenshot in light mode and dark mode,2023-01-09 11:17:03
308390956,@elonmusk @_screenshoter #white,,2023-01-09 11:16:52
1567452904310669312,@JamesMelville @elonmusk This is actually him calling out a hit on Takeoff.,this is actually him calling out a hit on takeoff,2023-01-08 15:25:34
